Draw,Date,Winning Number 1,2,3,4,5,6,Additional Number,From Last,Low,High,Odd,Even, 1-10, 11-20, 21-30, 31-40, 41-50,Division 1 Winners,Division 1 Prize,Division 2 Winners,Division 2 Prize,Division 3 Winners,Division 3 Prize,Division 4 Winners,Division 4 Prize,Division 5 Winners,Division 5 Prize,Division 6 Winners,Division 6 Prize,Division 7 Winners,Division 7 Prize,Same As Day
2341,3/7/2008,6,11,14,15,28,45,35,,4,2,3,3,1,3,1,0,1,,,,,,,,,,,,,,,
2342,7/7/2008,2,18,19,21,39,45,36,45,4,2,4,2,1,2,1,1,1,,,,,,,,,,,,,,,
2343,10/7/2008,22,32,41,42,43,44,31,,1,5,2,4,0,0,1,1,4,,,,,,,,,,,,,,,
2344,14/7/2008,5,12,17,18,38,40,22,,4,2,2,4,1,3,0,2,0,,,,,,,,,,,,,,,
2345,17/7/2008,5,10,25,27,36,39,40,5,2,4,4,2,2,0,2,2,0,,,,,,,,,,,,,,,
2346,21/7/2008,5,13,25,27,40,44,2,"5,25,27",2,4,4,2,1,1,2,1,1,,,,,,,,,,,,,,,
2347,24/7/2008,2,5,9,20,21,42,15,5,5,1,3,3,3,1,1,0,1,,,,,,,,,,,,,,,
2348,28/7/2008,4,16,21,26,31,37,24,21,3,3,3,3,1,1,2,2,0,,,,,,,,,,,,,,,
2349,31/7/2008,9,10,14,18,30,34,11,,4,2,1,5,2,2,1,1,0,,,,,,,,,,,,,,,
2350,4/8/2008,4,10,12,20,42,43,24,10,4,2,1,5,2,2,0,0,2,,,,,,,,,,,,,,,
2351,8/8/2008,14,17,19,21,25,38,34,,4,2,4,2,0,3,2,1,0,,,,,,,,,,,,,,,
2352,11/8/2008,3,11,15,23,31,42,7,,3,3,5,1,1,2,1,1,1,,,,,,,,,,,,,,,
2353,14/8/2008,6,7,28,36,38,45,37,,2,4,2,4,2,0,1,2,1,,,,,,,,,,,,,,,
2354,18/8/2008,4,6,18,22,27,29,26,6,4,2,2,4,2,1,3,0,0,,,,,,,,,,,,,,,
2355,21/8/2008,5,9,19,30,41,45,22,,3,3,5,1,2,1,1,0,2,,,,,,,,,,,,,,,
2356,25/8/2008,6,8,12,15,33,37,36,,4,2,3,3,2,2,0,2,0,,,,,,,,,,,,,,,
2357,28/8/2008,2,11,16,32,44,45,6,,3,3,2,4,1,2,0,1,2,,,,,,,,,,,,,,,
2358,1/9/2008,5,14,29,34,37,39,30,,2,4,4,2,1,1,1,3,0,,,,,,,,,,,,,,,
